x,y,pmi,count
box,ear,2.2714739282868455,8
ill,beseeming,2.269868401571427,5
beseeming,ill,2.269868401571427,5
troy,priam,2.268662950953017,7
priam,troy,2.268662950953017,7
mrs,ford,2.26406204960372,98
ford,mrs,2.26406204960372,98
cave,wales,2.2613567939953043,5
wales,cave,2.2613567939953043,5
goths,tamora,2.260643080635164,5
tamora,goths,2.260643080635164,5
doll,rascal,2.259930538257272,5
lordship,osr,2.259930538257272,5
rascal,doll,2.259930538257272,5
osr,lordship,2.259930538257272,5
sing,birds,2.258154280231469,8
birds,sing,2.258154280231469,8
er,whate,2.256385257492622,26
er,whoe,2.256385257492622,10
er,howe,2.256385257492622,12
er,wheresoe,2.256385257492622,6
er,howsoe,2.256385257492622,6
er,soe,2.256385257492622,6
er,whatsoe,2.256385257492622,5
whoe,er,2.256385257492622,10
howe,er,2.256385257492622,12
wheresoe,er,2.256385257492622,6
howsoe,er,2.256385257492622,6
soe,er,2.256385257492622,6
whate,er,2.256385257492622,26
whatsoe,er,2.256385257492622,5
knave,scurvy,2.2552769772714227,7
